row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Economic & Productivity Losses,Transition Risks,Social Stressors
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.481049256630829,0.475595946511354,0.507784482142341,0.827021121889253,0.113795475980368
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.538547334720732,0.83216328639282,0.543324177997077,0.60560744057946,0.173094433913572
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.494075843790259,0.562071845680023,0.571206549861662,0.634871592972026,0.208153386647325
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.476931548695294,0.409075509728417,0.644601767589577,0.683185052110697,0.170863865352483
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.52634151626363,0.473886103322823,0.74970360818862,0.601098184393184,0.280678169149893
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.556129660140409,0.765098822353563,0.530836194138253,0.711344896865807,0.217238727204012
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.520313085802804,0.492592595137296,0.724988725361207,0.664595873546865,0.199075149165848
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.545026522345508,0.610968039195263,0.569529993961509,0.712081101957444,0.287526954267814
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.461312930638766,0.486367719206199,0.402914959943661,0.652816592080675,0.303152451324528
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.565487267270582,0.566323958973185,0.595030203863722,0.709780461046079,0.390814445199343
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.459298844577224,0.420660695489069,0.556274536123715,0.656405591902405,0.203854554793706
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.529807397692046,0.477690194169604,0.764821605934453,0.748891356539289,0.127826434124837
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.436887396884879,0.495135140406185,0.469508870650043,0.660178642997044,0.122726933486246
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.519179412963402,0.608168958287778,0.619032616978655,0.60661972258046,0.242896354006715
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.610268549419565,0.688549418792749,0.78344029346763,0.677571488286965,0.291512997130916
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.463166909479016,0.398409482658277,0.516625491102732,0.718154793963449,0.219477870191605
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.456927932515735,0.418726786044495,0.574966727457187,0.608644286582462,0.225373929978798
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.507391430058688,0.546438938637738,0.595280109179571,0.7391366390751,0.148710033342342
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.502255956693745,0.58740363245518,0.511664098660124,0.662111181362591,0.247844914297085
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.468142892488611,0.448467859937512,0.565119727918059,0.654012925354585,0.204971056744286
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.530358251966788,0.451871531754706,0.720032010087475,0.723676332150725,0.225853133874246
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.514319313145363,0.344948891932421,0.662513194939836,0.769136996559303,0.280678169149893
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.427928186608092,0.3896469593821,0.5640427432394,0.545882802520417,0.21214024129045
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.484651046303409,0.562302956141094,0.451413873927864,0.761038740551297,0.16384861459338
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.558490766080659,0.356361164472765,0.746536195202974,0.74152930562292,0.389536399023977
