row#,Name,FIPS,Source,ToxPi Score,Financial Services,"Food, Water, and Waste Management",Energy,Transportation,Communications,Governance,Transportation Sources
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.61443957670041,0.843641040080473,0.571053583082325,0.448001942888034,0.824076796549014,0.502639577667573,0.634579437182875,0.477084659452578
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.578947320906886,0.861650471375863,0.612829915234921,0.147118924525988,0.684914136035031,0.498160294352904,0.65184038197181,0.596117122851687
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.662552085409204,0.659410589795574,0.497211743419514,0.627236043612252,0.589781440036291,0.872820348744201,0.740545106986065,0.650859325270528
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.779603625817102,0.787717016584262,1,0.617106588275629,0.737219465519218,0.822108462645977,0.735276266536131,0.757797581158498
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.712363264527932,0.861478132320404,0.630514240488708,0.447891371231191,0.558100677888306,0.755559110542313,0.88513171896999,0.847867600254615
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.754898766653782,0.790991458637969,0.850103831096467,0.627236043612252,0.605056033853135,0.936330187170053,0.679857071277252,0.794716740929344
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.691987570556454,0.590561137139993,0.903480142163592,0.468886877380227,0.50211616633847,0.696368581027036,0.784346047834402,0.898154042011458
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.685308296088557,0.7088718987121,0.553393758552052,0.852701406041522,0.798895205962052,0.590625499920013,0.729653116926748,0.563017186505411
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.687916496987635,0.659669098378762,0.822171150175329,0.484810785769612,0.631873969581664,0.805951047832347,0.894389459002596,0.516549968173138
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.760278457690353,0.807018990795589,0.928923772309579,0.649414219507176,0.682695671062296,0.77251639737642,0.763366148962192,0.718014003819223
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.721029711582797,0.866131286817778,0.527910036313042,0.418260641936264,0.547544612241523,0.926091825307951,0.871390520538135,0.889879057924889
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.714840354912724,0.779186233339077,0.928923772309579,0.544707639080182,0.606652181896035,0.831546952487602,0.538836424563671,0.774029280712922
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.700731363439616,0.655102113409118,1,0.558568999014509,0.604220112727743,0.680691089425692,0.539891780741499,0.866645448758752
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.67958508043813,0.665700965319802,0.595944090833834,0.617106588275629,0.590464040789449,0.852823548232283,0.834165177483517,0.6008911521324
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.669549150270926,0.779186233339077,0.595944090833834,0.465056966239661,0.484737911233755,0.808990561510158,0.571387868625419,0.981540420114577
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.609497794060984,0.58582181311489,0.6106018342875,0.409180257152335,0.619012180872791,0.687729963205887,0.770752131690365,0.583386378103119
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.684983541892909,0.865097252485028,0.551417738078356,0.73623341436999,0.579580989700677,0.830427131658935,0.666246662883541,0.565881604073838
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.732885371109607,0.563073057794398,0.936390924635032,0.653359375796176,0.382367366720238,0.957926731722924,0.661905093358189,0.975175047740293
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.723158040195803,0.4787992596753,1,0.61226137396858,0.560261757209795,0.896336586146217,0.68599408985768,0.828453214513049
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.693336730940102,0.591336662889555,0.776261991433656,0.720083863476978,0.534177229723077,0.84706446968485,0.802319595744337,0.582113303628262
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.681574341174322,0.500600150190772,0.666743757327016,0.599198364279419,0.617160218513846,0.889297712366022,0.750407200183535,0.747612985359644
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.656304410147732,0.687415686307545,0.56351181491708,0.303561044665582,0.642395640402362,0.775075987841945,0.907657647886246,0.714513049013367
23,"AL, Dale",01045,"+31.4306536,-085.6094760",0.741787578405539,0.787717016584262,1,0.432438786598891,0.783992136444255,0.630619100943849,0.86328388223314,0.694462126034373
24,"AL, Dallas",01047,"+32.3335397,-087.1143556",0.792165736046878,0.746527982329734,1,0.916433758250717,0.649577106392105,0.902255639097744,0.722790873132445,0.607574793125398
25,"AL, DeKalb",01049,"+34.4609290,-085.8039920",0.723644743118806,0.761004462988229,0.630514240488708,0.588398377887777,0.607477156687221,0.810750279955207,0.776534820043471,0.890833863781031
26,"AL, Elmore",01051,"+32.5972286,-086.1427385",0.634932373248965,0.733688722698092,0.962387677175497,0.318531100447175,0.789360762559111,0.447288433850584,0.75214961047442,0.441120305537874
27,"AL, Escambia",01053,"+31.1217475,-087.1684290",0.684102047463132,0.685692295752962,0.776261991433656,0.558568999014509,0.610920990214516,0.959366501359782,0.625974846637088,0.571928707829408
28,"AL, Etowah",01055,"+34.0476377,-086.0344203",0.654029523349394,0.562728379683481,0.617499530402799,0.567496670033772,0.708843041972102,0.76355783074708,0.706267079479849,0.651814131126671
29,"AL, Fayette",01057,"+33.7322485,-087.7520486",0.716374654929914,0.726622821424303,0.861995962577744,0.558568999014509,0.794414992937323,0.733162693968965,0.803892760671848,0.535964353914704
30,"AL, Franklin",01059,"+34.4419884,-087.8428147",0.668220257216875,0.548510407608173,0.571053583082325,0.558568999014509,0.551968647974852,0.924652055671093,0.723297336957114,0.799490770210057
31,"AL, Geneva",01061,"+31.0908664,-085.8243464",0.69684915214307,0.926794634339091,0.527910036313042,0.558091084025882,0.774316453187614,0.755879059350504,0.779892326747805,0.555060471037556
32,"AL, Greene",01063,"+32.8444965,-087.9642005",0.882460338582023,0.916109612900678,1,0.949253710963159,0.672867769237721,0.842585186370181,0.833325250373269,0.963080840229153
33,"AL, Hale",01065,"+32.7527958,-087.6230608",0.753060990137271,0.686640160557982,1,0.649414219507176,0.653189763758805,0.894096944488882,0.678665091534115,0.70942075111394
34,"AL, Henry",01067,"+31.5169779,-085.2399712",0.694732985593136,0.586338830281265,0.70131390698189,0.558568999014509,0.612182259658185,0.840025595904655,0.847005572110937,0.717695735200509
