row#,Name,FIPS,Source,ToxPi Score,Transportation,Energy,"Food, Water, and Waste Management",Communications,Financial Services,Governance
1,AL,01,"+32.7396323,-086.8434593",0.813018719085254,0.953530476765238,0.638104838709677,0.8046875,0.947916666666667,0.713872832369942,0.82
2,AK,02,"+63.3461910,-152.8370679",0.561026853657,0.670790585395293,0.889516129032258,0.8828125,0.364583333333333,0.0317919075144509,0.526666666666667
3,AZ,04,"+34.2099643,-111.6024010",0.400472102869322,0.501508750754375,0.331653225806452,0.2734375,0.333333333333333,0.149566473988439,0.813333333333333
4,AR,05,"+34.8955256,-092.4446262",0.791033023084952,0.966807483403742,0.76875,0.875,0.979166666666667,0.316473988439306,0.84
5,CA,06,"+37.1485730,-119.5406515",0.390595845816935,0.353047676523838,0.102620967741936,0.0703125,0.510416666666667,0.773843930635838,0.533333333333333
6,CO,08,"+38.9935752,-105.5077737",0.266358685522403,0.309897404948702,0.253225806451613,0.125,0.0833333333333333,0.440028901734104,0.386666666666667
7,CT,09,"+41.5797842,-072.7466666",0.393648736593086,0.587205793602897,0.483064516129032,0.390625,0.0625,0.61849710982659,0.22
8,DE,10,"+38.9935501,-075.4473739",0.352680750419841,0.398008449004225,0.401612903225806,0.265625,0.416666666666667,0.260838150289017,0.373333333333333
9,DC,11,"+38.9041485,-077.0170942",0.466663481131548,0.136994568497284,0.425403225806452,0.640625,0.322916666666667,0.780708092485549,0.493333333333333
10,FL,12,"+28.4574302,-082.4091478",0.525875303370119,0.463488231744116,0.492540322580645,0.515625,0.354166666666667,0.596098265895954,0.733333333333333
11,GA,13,"+32.6293840,-083.4232125",0.817331054090745,0.974652987326494,0.873991935483871,0.9453125,0.666666666666667,0.690028901734104,0.753333333333333
12,HI,15,"+19.8097670,-155.5061027",0.30341256370281,0.597767048883524,0.13125,0.328125,0.0833333333333333,0,0.68
13,ID,16,"+44.3020948,-114.5956254",0.423085387122525,0.560350030175015,0.39758064516129,0.390625,0.395833333333333,0.527456647398844,0.266666666666667
14,IL,17,"+40.1028754,-089.1526108",0.504048509827539,0.43995171997586,0.554032258064516,0.203125,0.520833333333333,0.659682080924856,0.646666666666667
15,IN,18,"+39.9030256,-086.2839503",0.669545785178859,0.634278817139409,0.790524193548387,0.4921875,0.770833333333333,0.389450867052023,0.94
16,IA,19,"+42.0700243,-093.4933473",0.384641703163309,0.672902836451418,0.429233870967742,0.2109375,0.65625,0.0585260115606937,0.28
17,KS,20,"+38.4985464,-098.3834298",0.592463137968116,0.535908267954134,0.914717741935484,0.7109375,0.65625,0.296965317919075,0.44
18,KY,21,"+37.5336807,-085.2929841",0.728071693381592,0.856970428485214,0.730846774193548,0.671875,0.833333333333333,0.535404624277457,0.74
19,LA,22,"+30.8577705,-091.8032730",0.869689645873798,0.71816535908268,0.832056451612903,0.8203125,0.927083333333333,0.920520231213873,1
20,ME,23,"+45.3906022,-068.6574869",0.418675800688886,0.729933614966808,0.82016129032258,0.2578125,0.270833333333333,0.206647398843931,0.226666666666667
21,MD,24,"+38.9466584,-076.6744939",0.314385563900525,0.273083886541943,0.151814516129032,0.203125,0.104166666666667,0.527456647398844,0.626666666666667
22,MA,25,"+42.1565196,-071.4895915",0.337352671250369,0.476161738080869,0.374395161290323,0.2265625,0.0520833333333333,0.554913294797688,0.34
23,MI,26,"+44.8410835,-085.6593197",0.463375828675889,0.347616173808087,0.550604838709677,0.421875,0.5625,0.357658959537572,0.54
24,MN,27,"+46.3161343,-094.1994801",0.291794395580169,0.516898008449004,0.471774193548387,0.171875,0.28125,0.055635838150289,0.253333333333333
25,MS,28,"+32.6864655,-089.6561493",0.981111111111111,1,1,1,1,1,0.886666666666667
26,MO,29,"+38.3507500,-092.4567826",0.682419247653545,0.607121303560652,0.653427419354839,0.5625,0.760416666666667,0.73771676300578,0.773333333333333
27,MT,30,"+47.0511771,-109.6348174",0.427485184534593,0.734459867229934,0.628225806451613,0.3125,0.479166666666667,0.257225433526012,0.153333333333333
28,NE,31,"+41.5438105,-099.8123253",0.407363175216758,0.608630054315027,0.591532258064516,0.3515625,0.489583333333333,0.209537572254335,0.193333333333333
29,NV,32,"+39.3310928,-116.6151469",0.411989075740154,0,0.302822580645161,0.3984375,0.375,0.642341040462428,0.753333333333333
30,NH,33,"+43.6708595,-071.5811278",0.350808947797999,0.693421846710923,0.65,0.421875,0,0.252890173410405,0.0866666666666666
31,NJ,34,"+40.1072744,-074.6652012",0.276934041304083,0.1985515992758,0.412701612903226,0.00781250000000001,0.0625,0.586705202312139,0.393333333333333
32,NM,35,"+34.4391265,-106.1261511",0.650572553271761,0.622510561255281,0.450201612903226,0.7734375,0.84375,0.580202312138728,0.633333333333333
