Census Tract,FIPS Code,GEOID10,Income
"01001020100, AL",1001020100,01001020100,30447
"01001020200, AL",1001020200,01001020200,22772
"01001020300, AL",1001020300,01001020300,25291
"01001020400, AL",1001020400,01001020400,47056
"01001020501, AL",1001020501,01001020501,30857
"01001020502, AL",1001020502,01001020502,32388
"01001020503, AL",1001020503,01001020503,40522
"01001020600, AL",1001020600,01001020600,24783
"01001020700, AL",1001020700,01001020700,24192
"01001020801, AL",1001020801,01001020801,33893
"01001020803, AL",1001020803,01001020803,22539
"01001020804, AL",1001020804,01001020804,35200
"01001020805, AL",1001020805,01001020805,31324
"01001020901, AL",1001020901,01001020901,25969
"01001020902, AL",1001020902,01001020902,33671
"01001021000, AL",1001021000,01001021000,26173
"01001021100, AL",1001021100,01001021100,19058
"01003010100, AL",1003010100,01003010100,26525
"01003010200, AL",1003010200,01003010200,25779
"01003010300, AL",1003010300,01003010300,33851
"01003010400, AL",1003010400,01003010400,23107
"01003010500, AL",1003010500,01003010500,27516
"01003010600, AL",1003010600,01003010600,15876
"01003010704, AL",1003010704,01003010704,29475
"01003010706, AL",1003010706,01003010706,43410
"01003010707, AL",1003010707,01003010707,39816
"01003010708, AL",1003010708,01003010708,34721
"01003010709, AL",1003010709,01003010709,37600
"01003010710, AL",1003010710,01003010710,38110
"01003010711, AL",1003010711,01003010711,32051
"01003010800, AL",1003010800,01003010800,37952
"01003010903, AL",1003010903,01003010903,25131
"01003010904, AL",1003010904,01003010904,35368
"01003010906, AL",1003010906,01003010906,21979
"01003010907, AL",1003010907,01003010907,27277
"01003010908, AL",1003010908,01003010908,28726
"01003011000, AL",1003011000,01003011000,22381
"01003011102, AL",1003011102,01003011102,31947
"01003011103, AL",1003011103,01003011103,31509
"01003011104, AL",1003011104,01003011104,40991
"01003011201, AL",1003011201,01003011201,52491
"01003011202, AL",1003011202,01003011202,44487
"01003011300, AL",1003011300,01003011300,55942
"01003011409, AL",1003011409,01003011409,31469
"01003011410, AL",1003011410,01003011410,31847
"01003011411, AL",1003011411,01003011411,33684
"01003011412, AL",1003011412,01003011412,26564
"01003011413, AL",1003011413,01003011413,39050
"01003011414, AL",1003011414,01003011414,45159
"01003011415, AL",1003011415,01003011415,75116
"01003011416, AL",1003011416,01003011416,32497
"01003011417, AL",1003011417,01003011417,54491
"01003011418, AL",1003011418,01003011418,39871
"01003011419, AL",1003011419,01003011419,37958
"01003011501, AL",1003011501,01003011501,27716
"01003011503, AL",1003011503,01003011503,23597
"01003011504, AL",1003011504,01003011504,31139
"01003011601, AL",1003011601,01003011601,31970
"01003011603, AL",1003011603,01003011603,20276
"01003011604, AL",1003011604,01003011604,50060
"01003990000, AL",1003990000,01003990000,N/A
"01005950100, AL",1005950100,01005950100,24830
"01005950200, AL",1005950200,01005950200,14784
"01005950300, AL",1005950300,01005950300,29094
"01005950400, AL",1005950400,01005950400,13637
"01005950500, AL",1005950500,01005950500,27790
"01005950600, AL",1005950600,01005950600,15206
"01005950700, AL",1005950700,01005950700,20237
"01005950800, AL",1005950800,01005950800,28247
"01005950900, AL",1005950900,01005950900,16202
"01007010001, AL",1007010001,01007010001,24119
"01007010005, AL",1007010005,01007010005,26311
"01007010006, AL",1007010006,01007010006,24001
"01007010007, AL",1007010007,01007010007,23118
"01007010008, AL",1007010008,01007010008,30422
"01007010009, AL",1007010009,01007010009,12888
"01007010010, AL",1007010010,01007010010,28891
"01007010011, AL",1007010011,01007010011,15893
"01009050103, AL",1009050103,01009050103,30088
"01009050104, AL",1009050104,01009050104,34250
"01009050105, AL",1009050105,01009050105,29603
"01009050106, AL",1009050106,01009050106,22338
"01009050107, AL",1009050107,01009050107,20514
"01009050200, AL",1009050200,01009050200,18956
"01009050301, AL",1009050301,01009050301,21840
"01009050302, AL",1009050302,01009050302,20435
"01009050400, AL",1009050400,01009050400,25550
"01009050501, AL",1009050501,01009050501,23118
"01009050502, AL",1009050502,01009050502,32477
"01009050601, AL",1009050601,01009050601,24668
"01009050603, AL",1009050603,01009050603,29816
"01009050604, AL",1009050604,01009050604,27216
"01009050701, AL",1009050701,01009050701,24076
"01009050702, AL",1009050702,01009050702,23006
"01011952100, AL",1011952100,01011952100,17440
"01011952201, AL",1011952201,01011952201,19526
"01011952202, AL",1011952202,01011952202,16264
"01011952500, AL",1011952500,01011952500,30543
"01013952700, AL",1013952700,01013952700,25727
"01013952800, AL",1013952800,01013952800,30891
"01013952900, AL",1013952900,01013952900,18296
"01013953000, AL",1013953000,01013953000,21097
"01013953100, AL",1013953100,01013953100,21000
"01013953200, AL",1013953200,01013953200,25816
"01013953300, AL",1013953300,01013953300,25112
"01013953400, AL",1013953400,01013953400,22251
"01013953500, AL",1013953500,01013953500,22973
"01015000200, AL",1015000200,01015000200,19573
"01015000300, AL",1015000300,01015000300,20311
"01015000400, AL",1015000400,01015000400,17736
"01015000500, AL",1015000500,01015000500,19855
"01015000600, AL",1015000600,01015000600,15746
"01015000700, AL",1015000700,01015000700,28852
"01015000800, AL",1015000800,01015000800,23025
"01015000900, AL",1015000900,01015000900,41263
"01015001000, AL",1015001000,01015001000,36916
"01015001101, AL",1015001101,01015001101,34453
"01015001102, AL",1015001102,01015001102,18769
"01015001103, AL",1015001103,01015001103,39574
"01015001201, AL",1015001201,01015001201,20922
"01015001202, AL",1015001202,01015001202,23307
"01015001300, AL",1015001300,01015001300,18365
"01015001400, AL",1015001400,01015001400,21435
"01015001501, AL",1015001501,01015001501,24657
"01015001502, AL",1015001502,01015001502,16919
"01015001600, AL",1015001600,01015001600,22910
"01015001700, AL",1015001700,01015001700,24518
"01015001801, AL",1015001801,01015001801,28438
"01015001802, AL",1015001802,01015001802,23718
"01015002001, AL",1015002001,01015002001,22157
"01015002002, AL",1015002002,01015002002,37487
"01015002101, AL",1015002101,01015002101,11109
"01015002102, AL",1015002102,01015002102,29620
"01015002104, AL",1015002104,01015002104,27017
"01015002105, AL",1015002105,01015002105,26177
"01015002200, AL",1015002200,01015002200,24848
"01015002300, AL",1015002300,01015002300,22815
"01015002400, AL",1015002400,01015002400,23231
"01015002502, AL",1015002502,01015002502,31895
"01015002503, AL",1015002503,01015002503,30321
"01015002504, AL",1015002504,01015002504,21053
"01015002600, AL",1015002600,01015002600,27536
"01015981901, AL",1015981901,01015981901,N/A
"01015981902, AL",1015981902,01015981902,N/A
"01015981903, AL",1015981903,01015981903,N/A
"01017953800, AL",1017953800,01017953800,20125
"01017953900, AL",1017953900,01017953900,21870
"01017954001, AL",1017954001,01017954001,25770
"01017954002, AL",1017954002,01017954002,22011
"01017954200, AL",1017954200,01017954200,29149
"01017954300, AL",1017954300,01017954300,28072
"01017954600, AL",1017954600,01017954600,24255
"01017954700, AL",1017954700,01017954700,23286
"01017954800, AL",1017954800,01017954800,22173
"01019955701, AL",1019955701,01019955701,22959
"01019955702, AL",1019955702,01019955702,21875
"01019955801, AL",1019955801,01019955801,21492
"01019955802, AL",1019955802,01019955802,29309
"01019955900, AL",1019955900,01019955900,35191
"01019956000, AL",1019956000,01019956000,27776
"01019956101, AL",1019956101,01019956101,21156
"01019956102, AL",1019956102,01019956102,24621
"01021060101, AL",1021060101,01021060101,27415
"01021060103, AL",1021060103,01021060103,39605
"01021060104, AL",1021060104,01021060104,25205
"01021060200, AL",1021060200,01021060200,27046
"01021060300, AL",1021060300,01021060300,26428
"01021060401, AL",1021060401,01021060401,26633
"01021060403, AL",1021060403,01021060403,18357
"01021060404, AL",1021060404,01021060404,20832
"01021060500, AL",1021060500,01021060500,24727
"01021060600, AL",1021060600,01021060600,21975
"01021060701, AL",1021060701,01021060701,23581
"01021060702, AL",1021060702,01021060702,32596
"01023956700, AL",1023956700,01023956700,22106
"01023956800, AL",1023956800,01023956800,22817
"01023956900, AL",1023956900,01023956900,24820
"01023957000, AL",1023957000,01023957000,23852
"01025957500, AL",1025957500,01025957500,23105
"01025957601, AL",1025957601,01025957601,23211
"01025957603, AL",1025957603,01025957603,24109
"01025957604, AL",1025957604,01025957604,30440
"01025957700, AL",1025957700,01025957700,16864
"01025957800, AL",1025957800,01025957800,30552
"01025957901, AL",1025957901,01025957901,22834
"01025957902, AL",1025957902,01025957902,23307
"01025958003, AL",1025958003,01025958003,19740
"01027958900, AL",1027958900,01027958900,24103
"01027959000, AL",1027959000,01027959000,23655
"01027959100, AL",1027959100,01027959100,34660
"01027959200, AL",1027959200,01027959200,17848
"01029959500, AL",1029959500,01029959500,24936
"01029959600, AL",1029959600,01029959600,25250
"01029959700, AL",1029959700,01029959700,21155
"01029959800, AL",1029959800,01029959800,26828
"01031010100, AL",1031010100,01031010100,19168
"01031010200, AL",1031010200,01031010200,30529
"01031010300, AL",1031010300,01031010300,33851
"01031010400, AL",1031010400,01031010400,25154
"01031010500, AL",1031010500,01031010500,21793
"01031010600, AL",1031010600,01031010600,21322
"01031010700, AL",1031010700,01031010700,29526
"01031010800, AL",1031010800,01031010800,34972
"01031010900, AL",1031010900,01031010900,21399
"01031011000, AL",1031011000,01031011000,24128
"01031011100, AL",1031011100,01031011100,22579
"01031011203, AL",1031011203,01031011203,32449
"01031011204, AL",1031011204,01031011204,43053
"01031011205, AL",1031011205,01031011205,28799
"01031011206, AL",1031011206,01031011206,28619
"01031011300, AL",1031011300,01031011300,18853
"01033020100, AL",1033020100,01033020100,25412
"01033020200, AL",1033020200,01033020200,23185
"01033020300, AL",1033020300,01033020300,20491
"01033020400, AL",1033020400,01033020400,32907
"01033020500, AL",1033020500,01033020500,21119
"01033020600, AL",1033020600,01033020600,21584
"01033020703, AL",1033020703,01033020703,29157
"01033020704, AL",1033020704,01033020704,25530
"01033020705, AL",1033020705,01033020705,27412
"01033020706, AL",1033020706,01033020706,32996
"01033020801, AL",1033020801,01033020801,34832
"01033020802, AL",1033020802,01033020802,24426
"01033020901, AL",1033020901,01033020901,20239
"01033020902, AL",1033020902,01033020902,24141
"01033021000, AL",1033021000,01033021000,23162
"01035960200, AL",1035960200,01035960200,18263
"01035960300, AL",1035960300,01035960300,22202
"01035960400, AL",1035960400,01035960400,22246
"01035960500, AL",1035960500,01035960500,20077
"01035960600, AL",1035960600,01035960600,20417
"01037961000, AL",1037961000,01037961000,20936
"01037961100, AL",1037961100,01037961100,26468
"01037961200, AL",1037961200,01037961200,27551
"01039961600, AL",1039961600,01039961600,27899
"01039961700, AL",1039961700,01039961700,30033
"01039961800, AL",1039961800,01039961800,23749
"01039961900, AL",1039961900,01039961900,35461
"01039962000, AL",1039962000,01039962000,23494
"01039962100, AL",1039962100,01039962100,18079
"01039962300, AL",1039962300,01039962300,27435
"01039962400, AL",1039962400,01039962400,26773
"01039962500, AL",1039962500,01039962500,17678
"01039962600, AL",1039962600,01039962600,20765
"01039962700, AL",1039962700,01039962700,18856
"01039962800, AL",1039962800,01039962800,21951
"01039962900, AL",1039962900,01039962900,29257
"01039963000, AL",1039963000,01039963000,22235
"01041963400, AL",1041963400,01041963400,31872
"01041963500, AL",1041963500,01041963500,36453
"01041963600, AL",1041963600,01041963600,22206
"01041963700, AL",1041963700,01041963700,21935
"01041963800, AL",1041963800,01041963800,24365
"01041963900, AL",1041963900,01041963900,27623
"01043964100, AL",1043964100,01043964100,19202
"01043964201, AL",1043964201,01043964201,25828
"01043964202, AL",1043964202,01043964202,24659
"01043964300, AL",1043964300,01043964300,26505
"01043964400, AL",1043964400,01043964400,26010
"01043964500, AL",1043964500,01043964500,22370
"01043964600, AL",1043964600,01043964600,25142
"01043964700, AL",1043964700,01043964700,22014
"01043964800, AL",1043964800,01043964800,26766
"01043964901, AL",1043964901,01043964901,28839
"01043964902, AL",1043964902,01043964902,32201
"01043965001, AL",1043965001,01043965001,24249
"01043965002, AL",1043965002,01043965002,22667
"01043965100, AL",1043965100,01043965100,26790
"01043965200, AL",1043965200,01043965200,25094
"01043965300, AL",1043965300,01043965300,21663
"01043965401, AL",1043965401,01043965401,18967
"01043965402, AL",1043965402,01043965402,24343
"01043965501, AL",1043965501,01043965501,25287
"01043965502, AL",1043965502,01043965502,25479
"01043965600, AL",1043965600,01043965600,39229
"01043965700, AL",1043965700,01043965700,24906
"01045020000, AL",1045020000,01045020000,20003
"01045020100, AL",1045020100,01045020100,24657
"01045020200, AL",1045020200,01045020200,28687
"01045020300, AL",1045020300,01045020300,25647
"01045020400, AL",1045020400,01045020400,33647
"01045020500, AL",1045020500,01045020500,18833
"01045020700, AL",1045020700,01045020700,13215
"01045020801, AL",1045020801,01045020801,21337
"01045020802, AL",1045020802,01045020802,30604
"01045021101, AL",1045021101,01045021101,27593
"01045021102, AL",1045021102,01045021102,21319
"01045021200, AL",1045021200,01045021200,26094
"01045021300, AL",1045021300,01045021300,32755
"01045021400, AL",1045021400,01045021400,20109
"01047956101, AL",1047956101,01047956101,21968
"01047956102, AL",1047956102,01047956102,28074
"01047956201, AL",1047956201,01047956201,28180
"01047956202, AL",1047956202,01047956202,20438
"01047956300, AL",1047956300,01047956300,16863
"01047956400, AL",1047956400,01047956400,10432
"01047956500, AL",1047956500,01047956500,13808
"01047956600, AL",1047956600,01047956600,19596
"01047956701, AL",1047956701,01047956701,30033
"01047956702, AL",1047956702,01047956702,21822
"01047956800, AL",1047956800,01047956800,22588
"01047956900, AL",1047956900,01047956900,14076
"01047957000, AL",1047957000,01047957000,22659
"01047957100, AL",1047957100,01047957100,20497
"01047957200, AL",1047957200,01047957200,18439
"01047957301, AL",1047957301,01047957301,13199
"01047957302, AL",1047957302,01047957302,20288
"01049960101, AL",1049960101,01049960101,20159
"01049960102, AL",1049960102,01049960102,23411
"01049960200, AL",1049960200,01049960200,20914
"01049960301, AL",1049960301,01049960301,23790
"01049960302, AL",1049960302,01049960302,20961
"01049960303, AL",1049960303,01049960303,22001
"01049960401, AL",1049960401,01049960401,22568
"01049960402, AL",1049960402,01049960402,22775
"01049960500, AL",1049960500,01049960500,24171
"01049960601, AL",1049960601,01049960601,29431
"01049960602, AL",1049960602,01049960602,24798
"01049960701, AL",1049960701,01049960701,18197
"01049960702, AL",1049960702,01049960702,26599
"01049960703, AL",1049960703,01049960703,20430
"01049960800, AL",1049960800,01049960800,17934
"01049960900, AL",1049960900,01049960900,25364
"01049961000, AL",1049961000,01049961000,18644
"01049961100, AL",1049961100,01049961100,21669
"01049961200, AL",1049961200,01049961200,37312
"01049961300, AL",1049961300,01049961300,16517
"01049961400, AL",1049961400,01049961400,27881
"01051030101, AL",1051030101,01051030101,30634
"01051030102, AL",1051030102,01051030102,29260
"01051030103, AL",1051030103,01051030103,7275
"01051030200, AL",1051030200,01051030200,32317
"01051030300, AL",1051030300,01051030300,55410
