row#,Name,FIPS,Source,ToxPi Score,Sectors Vulnerable to Disruption,Costs of Climate Disasters
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.616298200443901,0.828937102183287,0.403659298704516
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.579933790169973,0.828937102183287,0.330930478156659
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.6016675047535,0.828937102183287,0.374397907323714
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.595429187824619,0.828937102183287,0.361921273465951
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.600405070658014,0.828937102183287,0.371873039132742
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.564703034397622,0.828937102183287,0.300468966611958
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.591524950752961,0.828937102183287,0.354112799322636
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.615287329998156,0.828937102183287,0.401637557813025
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.616173572580727,0.828937102183287,0.403410042978168
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.619383894019156,0.828937102183287,0.409830685855026
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.615848155382439,0.828937102183287,0.402759208581592
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.347180245587269,0.281842447471083,0.412518043703454
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.342356685697753,0.281842447471083,0.402870923924422
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.330481650537534,0.281842447471083,0.379120853603985
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.367589212143723,0.281842447471083,0.453335976816363
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.605177433718697,0.7697761960167,0.440578671420693
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.599074514962153,0.7697761960167,0.428372833907606
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.600409263990591,0.7697761960167,0.431042331964483
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.591679159106026,0.7697761960167,0.413582122195351
61650,"TX, Angelina, 48005000302",48005000302,"+31.2784248,-094.7824619",0.588474992129975,0.7697761960167,0.407173788243251
61651,"TX, Angelina, 48005000400",48005000400,"+31.3411933,-094.7538471",0.594760236834496,0.7697761960167,0.419744277652293
61652,"TX, Angelina, 48005000500",48005000500,"+31.3708474,-094.7362500",0.576851520619498,0.7697761960167,0.383926845222295
61653,"TX, Angelina, 48005000600",48005000600,"+31.3505991,-094.6970483",0.590590588572746,0.7697761960167,0.411404981128791
61654,"TX, Angelina, 48005000700",48005000700,"+31.3365433,-094.7258312",0.527244245921625,0.7697761960167,0.284712295826551
61655,"TX, Angelina, 48005000800",48005000800,"+31.3110999,-094.7054197",0.601297045188757,0.7697761960167,0.432817894360815
61656,"TX, Angelina, 48005000901",48005000901,"+31.3124968,-094.7523980",0.599739196899081,0.7697761960167,0.429702197781463
