row#,Name,FIPS,Source,ToxPi Score,Temperature,Storms,Wildfires,Droughts,Flooding,Precipitation
61631,"TX, Anderson, 48001950100",48001950100,"+31.9714680,-095.5524440",0.45459991017208,0.527385383905046,0.655111133872785,0.685802216595657,0.770726637400875,9.58182191499555e-05,0.0884782710389671
61632,"TX, Anderson, 48001950401",48001950401,"+31.7346372,-095.8157096",0.436553968760389,0.505653459186414,0.555648878418519,0.684374408107042,0.779843057584757,9.58182191499555e-05,0.0937081910464518
61633,"TX, Anderson, 48001950402",48001950402,"+31.7999975,-095.9123872",0.450540307641625,0.505653459186414,0.613571648058998,0.691284889396733,0.798927839942,9.58182191499555e-05,0.0937081910464518
61634,"TX, Anderson, 48001950500",48001950500,"+31.7878081,-095.6419012",0.437670446144713,0.505653459186414,0.576958926559459,0.672250154154454,0.777356127702352,9.58182191499555e-05,0.0937081910464518
61635,"TX, Anderson, 48001950600",48001950600,"+31.7502049,-095.6692087",0.434505304751018,0.505653459186414,0.567612414216942,0.661506622606664,0.778455323230487,9.58182191499555e-05,0.0937081910464518
61636,"TX, Anderson, 48001950700",48001950700,"+31.7516003,-095.6340970",0.400392867454451,0.505653459186414,0.509720372836218,0.515823235736122,0.777356127702352,9.58182191499555e-05,0.0937081910464518
61637,"TX, Anderson, 48001950800",48001950800,"+31.7394653,-095.6143534",0.420736658541021,0.505653459186414,0.533422103861518,0.614184251230241,0.777356127702352,9.58182191499555e-05,0.0937081910464518
61638,"TX, Anderson, 48001950901",48001950901,"+31.7062457,-095.7358730",0.451491174934513,0.505653459186414,0.642579125268872,0.684752217720296,0.782158238165891,9.58182191499555e-05,0.0937081910464518
61639,"TX, Anderson, 48001950902",48001950902,"+31.7878409,-095.5053418",0.456080943841556,0.505653459186414,0.669230769230769,0.677525750208611,0.790271675157937,9.58182191499555e-05,0.0937081910464518
61640,"TX, Anderson, 48001951000",48001951000,"+31.6232277,-095.5131055",0.460034126777353,0.505653459186414,0.673338113284851,0.697137503769315,0.790271675157937,9.58182191499555e-05,0.0937081910464518
61641,"TX, Anderson, 48001951100",48001951100,"+31.9219100,-095.8429741",0.45835508864886,0.516873278368762,0.660760012291304,0.681619290854094,0.800198794928243,9.58182191499555e-05,0.090583337231604
61642,"TX, Andrews, 48003950100",48003950100,"+32.3588247,-102.7169259",0.575046308110536,0.671340917234956,0.656826795042507,0.900266521189047,0.87054323132288,9.58182191499555e-05,0.351204565654676
61643,"TX, Andrews, 48003950200",48003950200,"+32.3283796,-102.5538031",0.528414314288436,0.669639179278866,0.466101608112261,0.860074055429795,0.82538684465593,9.58182191499555e-05,0.349188380034617
61644,"TX, Andrews, 48003950300",48003950300,"+32.3148521,-102.5485167",0.532981938073694,0.669639179278866,0.469993854348049,0.883587551905552,0.82538684465593,9.58182191499555e-05,0.349188380034617
61645,"TX, Andrews, 48003950400",48003950400,"+32.1765480,-102.4688186",0.573318235123121,0.669639179278866,0.655136740755915,0.899173915768682,0.866675376681499,9.58182191499555e-05,0.349188380034617
61646,"TX, Angelina, 48005000101",48005000101,"+31.4337680,-094.8475538",0.421581994002461,0.488833113651991,0.656709003380109,0.69861357768748,0.615810690117995,9.58182191499555e-05,0.069429760958039
61647,"TX, Angelina, 48005000102",48005000102,"+31.3158203,-094.8802824",0.419834408017438,0.488482306829368,0.654435112158148,0.692245720423913,0.614635828407344,9.58182191499555e-05,0.0691116620667072
61648,"TX, Angelina, 48005000200",48005000200,"+31.3705581,-094.6762150",0.415356172202375,0.488482306829368,0.646932295401004,0.693674527688581,0.593840423009442,9.58182191499555e-05,0.0691116620667072
61649,"TX, Angelina, 48005000301",48005000301,"+31.3711414,-094.7745767",0.405409100604584,0.488482306829368,0.610964867356346,0.692293805283782,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61650,"TX, Angelina, 48005000302",48005000302,"+31.2784248,-094.7824619",0.414609497446658,0.488482306829368,0.636290074772099,0.695549837223457,0.598127285569168,9.58182191499555e-05,0.0691116620667072
61651,"TX, Angelina, 48005000400",48005000400,"+31.3411933,-094.7538471",0.383106974445927,0.488482306829368,0.570024582607805,0.599421333080381,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61652,"TX, Angelina, 48005000500",48005000500,"+31.3708474,-094.7362500",0.392849762721902,0.488482306829368,0.574172897674895,0.653729747669145,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61653,"TX, Angelina, 48005000600",48005000600,"+31.3505991,-094.6970483",0.395091569379843,0.488482306829368,0.578638738092799,0.662714747198882,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61654,"TX, Angelina, 48005000700",48005000700,"+31.3365433,-094.7258312",0.340987217516753,0.488482306829368,0.494361364334733,0.422366009778409,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61655,"TX, Angelina, 48005000800",48005000800,"+31.3110999,-094.7054197",0.398349539842617,0.488482306829368,0.597628802622145,0.650164598773171,0.584614050545159,9.58182191499555e-05,0.0691116620667072
61656,"TX, Angelina, 48005000901",48005000901,"+31.3124968,-094.7523980",0.38343279125951,0.488482306829368,0.567335859879136,0.604064956690551,0.57150614387215,9.58182191499555e-05,0.0691116620667072
61657,"TX, Angelina, 48005000902",48005000902,"+31.2823915,-094.7246988",0.397382446446504,0.488482306829368,0.572846461128752,0.669144379889887,0.584614050545159,9.58182191499555e-05,0.0691116620667072
61658,"TX, Angelina, 48005001001",48005001001,"+31.2065934,-094.8086815",0.415381775227166,0.488482306829368,0.64720884973881,0.68664039961637,0.60075161489259,9.58182191499555e-05,0.0691116620667072
61659,"TX, Angelina, 48005001002",48005001002,"+31.1574825,-094.7131134",0.421339511384681,0.488482306829368,0.670762060841954,0.69631232571566,0.603272894635249,9.58182191499555e-05,0.0691116620667072
61660,"TX, Angelina, 48005001100",48005001100,"+31.3337808,-094.5852421",0.419291347544255,0.488482306829368,0.665686776605552,0.698531098535312,0.593840423009442,9.58182191499555e-05,0.0691116620667072
61661,"TX, Angelina, 48005001200",48005001200,"+31.1390364,-094.3552215",0.420241614071019,0.488482306829368,0.678326334118611,0.691593140182839,0.593840423009442,9.58182191499555e-05,0.0691116620667072
61662,"TX, Angelina, 48005001300",48005001300,"+31.1891367,-094.5136193",0.422024214454699,0.488482306829368,0.683478439004404,0.697136637599122,0.593840423009442,9.58182191499555e-05,0.0691116620667072
61663,"TX, Aransas, 48007950100",48007950100,"+28.1951717,-096.9358509",0.606716439487933,0.451527557574538,0.736274710642221,0.777713551367699,0.458153916278041,0.998932311272329,0.217696589792768
61664,"TX, Aransas, 48007950200",48007950200,"+28.0335099,-097.0258751",0.415686448027711,0.518152682701634,0.617714841749462,0.473605629927038,0.676541108187218,9.58182191499555e-05,0.208008607381765
61665,"TX, Aransas, 48007950300",48007950300,"+28.0420659,-097.0703842",0.46396745896424,0.525689173266721,0.630354399262522,0.720871974650414,0.701020829093935,9.58182191499555e-05,0.205772559292698
61666,"TX, Aransas, 48007950400",48007950400,"+28.0171641,-097.0709140",0.443186306232042,0.525530603171719,0.550885998156304,0.685763192948138,0.690653330290586,9.58182191499555e-05,0.206188894606353
61667,"TX, Aransas, 48007950500",48007950500,"+27.9898056,-097.1250460",0.45643267214053,0.507773371672886,0.716583017515108,0.807599824220155,0.496388226317624,9.58182191499555e-05,0.210155774898255
61668,"TX, Aransas, 48007990000",48007990000,"+27.9305294,-096.9381146",0.558599033652145,0.293604035252785,0.330308306872888,0.742981811293249,0.748929078850471,0.998932311272329,0.236838658371147
61669,"TX, Archer, 48009020100",48009020100,"+33.7905536,-098.5260054",0.46253357504829,0.612736844485275,0.588517873604425,0.831745526469786,0.639855305647421,9.58182191499555e-05,0.102250081863685
61670,"TX, Archer, 48009020200",48009020200,"+33.6476029,-098.7808839",0.471403852434746,0.612736844485275,0.61624500665779,0.831113554025798,0.665981809356778,9.58182191499555e-05,0.102250081863685
61671,"TX, Archer, 48009020300",48009020300,"+33.5246510,-098.5853305",0.467028359693158,0.612736844485275,0.613796988630544,0.835832739558619,0.637457685401676,9.58182191499555e-05,0.102250081863685
61672,"TX, Armstrong, 48011950100",48011950100,"+34.9641790,-101.3566363",0.579301463163043,0.854592633302599,0.580001024275325,0.874720605730297,0.907236981588044,9.58182191499555e-05,0.259161715862843
61673,"TX, Atascosa, 48013960100",48013960100,"+28.8781528,-098.3319339",0.494543878647293,0.466958040601126,0.674966711051931,0.80772747513537,0.810994199603882,9.58182191499555e-05,0.206521027272302
61674,"TX, Atascosa, 48013960201",48013960201,"+29.1199892,-098.7546429",0.482751597724253,0.482953699191897,0.638707364539588,0.8029840153945,0.778125988902147,9.58182191499555e-05,0.193642700098236
61675,"TX, Atascosa, 48013960202",48013960202,"+29.0805454,-098.6307670",0.485639255138224,0.484001479372976,0.64967735327256,0.798505884744208,0.783931381055692,9.58182191499555e-05,0.197623614164756
61676,"TX, Atascosa, 48013960300",48013960300,"+29.0371934,-098.5854561",0.463672454458363,0.482953699191897,0.557569394653283,0.772985932102174,0.774787182485437,9.58182191499555e-05,0.193642700098236
61677,"TX, Atascosa, 48013960401",48013960401,"+29.1036654,-098.5150634",0.473393832077805,0.482953699191897,0.594540612516645,0.789472169771416,0.779657992669485,9.58182191499555e-05,0.193642700098236
61678,"TX, Atascosa, 48013960402",48013960402,"+28.9812134,-098.5122283",0.476352280152969,0.467675056207043,0.59718324285568,0.784996912718328,0.801650979495054,9.58182191499555e-05,0.206511671422557
61679,"TX, Atascosa, 48013960500",48013960500,"+28.8314705,-098.7195364",0.49514387918047,0.464689909201688,0.668452319983612,0.819454018438639,0.817754873926076,9.58182191499555e-05,0.200416335313655
61680,"TX, Atascosa, 48013960600",48013960600,"+28.8045739,-098.5228207",0.497093756054046,0.464718485076877,0.677757861313121,0.822352834455142,0.817225879871205,9.58182191499555e-05,0.200411657388782
61681,"TX, Austin, 48015760100",48015760100,"+29.6617125,-096.1047804",0.414377912510338,0.39614022202137,0.703241831404282,0.750023275290926,0.43193403173298,9.58182191499555e-05,0.20483229639332
61682,"TX, Austin, 48015760200",48015760200,"+29.7838198,-096.1069262",0.413935726437019,0.39614022202137,0.708076410939261,0.744445431546166,0.430024179502846,9.58182191499555e-05,0.20483229639332
