row#,Name,FIPS,Source,ToxPi Score,Socioeconomic Status,Housing Composition & Disability,Minority Status & Language,Housing & Transportation,HUD Foreclosure,Undocumented population
23830,"IL, Will, 17197880105",17197880105,"+41.6978187,-088.1089208",0.57815176660595,0.455409489044601,0.470551818211838,0.75756533292092,0.311425409641969,0.774912395970215,0.699046153846154
23831,"IL, Will, 17197880106",17197880106,"+41.6999714,-088.0926211",0.574410500069415,0.495888595255106,0.367441681243173,0.765947799219797,0.290609204492207,0.827529566360053,0.699046153846154
23832,"IL, Will, 17197880107",17197880107,"+41.7065111,-088.0736419",0.589987329509937,0.596493689758136,0.549659910007486,0.769639555566969,0.143150261398181,0.781934406482698,0.699046153846154
23833,"IL, Will, 17197880109",17197880109,"+41.7223980,-088.0527029",0.504508938562111,0.387387898103611,0.408494632800208,0.64349702515413,0.0877080791558154,0.800919842312746,0.699046153846154
23834,"IL, Will, 17197880111",17197880111,"+41.7007490,-088.0568454",0.58058201248195,0.480523745579128,0.476794000209953,0.806936775751862,0.189321929508981,0.83086946999562,0.699046153846154
23835,"IL, Will, 17197880112",17197880112,"+41.7028033,-088.0409939",0.601876820386863,0.409169994603523,0.451105157799127,0.762992129023286,0.44909860400047,0.83984888304862,0.699046153846154
23836,"IL, Will, 17197880113",17197880113,"+41.6940179,-088.0600423",0.656156470339171,0.744928106238588,0.431697648102875,0.860348844634834,0.314871748581828,0.886046320630749,0.699046153846154
23837,"IL, Will, 17197880114",17197880114,"+41.6852009,-088.0789597",0.580590227319012,0.645443986065371,0.499252772964947,0.888999966239498,0.750798484798099,0,0.699046153846154
23838,"IL, Will, 17197880115",17197880115,"+41.6946384,-088.0778222",0.486020367439064,0.682063927348852,0.432946460057351,0.843851682677064,0.258213980704965,0,0.699046153846154
23839,"IL, Will, 17197880116",17197880116,"+41.7100616,-088.0582750",0.417743951695336,0.49492549603441,0.361114291497824,0.815383537657591,0.135994231136035,0,0.699046153846154
23840,"IL, Will, 17197880117",17197880117,"+41.7149491,-088.0410810",0.559607579045894,0.635699620813146,0.490564968990016,0.822884767141965,0.709449963484085,0,0.699046153846154
23841,"IL, Will, 17197880118",17197880118,"+41.7224528,-088.0957961",0.262492534702884,0.0605555752249062,0.307218034733944,0.5081354444123,0,0,0.699046153846154
23842,"IL, Will, 17197880119",17197880119,"+41.7196473,-088.1355233",0.316995145535344,0.201714979284498,0.316079951877456,0.556120082170854,0.129009706033103,0,0.699046153846154
23843,"IL, Will, 17197880120",17197880120,"+41.6963282,-088.1254195",0.355040305686936,0.160769576206307,0.437722899395093,0.675644405231889,0.157058799442171,0,0.699046153846154
23844,"IL, Will, 17197880121",17197880121,"+41.6727954,-088.1197366",0.338360267938538,0.2842373919218,0.327360668023393,0.706922424704643,0.0125949691352408,0,0.699046153846154
23845,"IL, Will, 17197880202",17197880202,"+41.6686851,-088.0496258",0.58131868170837,0.389864944503196,0.425327272797709,0.69937677601045,0.499384547122499,0.774912395970215,0.699046153846154
23846,"IL, Will, 17197880203",17197880203,"+41.6473647,-088.0887238",0.434526404499226,0.533766302727719,0.33168314004287,0.76442534437597,0.278237486002643,0,0.699046153846154
23847,"IL, Will, 17197880204",17197880204,"+41.6451150,-088.1150335",0.370828178090496,0.210222302374669,0.484708993881804,0.604936452469993,0.226055165970356,0,0.699046153846154
23848,"IL, Will, 17197880303",17197880303,"+41.7179438,-088.1770495",0.261023927766349,0.146217232692496,0.348375351059721,0.357593714139354,0.0149111148603699,0,0.699046153846154
23849,"IL, Will, 17197880304",17197880304,"+41.7183114,-088.1575735",0.282924079015431,0.145647236248377,0.286119831643052,0.485390349731649,0.0813409026233544,0,0.699046153846154
23850,"IL, Will, 17197880305",17197880305,"+41.7020901,-088.1765105",0.24233977721362,0.0536636673701873,0.270234304068831,0.37290026454686,0.0581942734496895,0,0.699046153846154
23851,"IL, Will, 17197880306",17197880306,"+41.6963631,-088.1571949",0.351552008067724,0.176073841451527,0.33938879192683,0.674629496181318,0.220173765000513,0,0.699046153846154
23852,"IL, Will, 17197880307",17197880307,"+41.7171871,-088.1987800",0.400152966358367,0.189599936557001,0.418217610576913,0.665283796362361,0.428770300807776,0,0.699046153846154
23853,"IL, Will, 17197880308",17197880308,"+41.6615464,-088.1708955",0.371566667528165,0.255041386780995,0.306726697197301,0.682472661354588,0.286113105989953,0,0.699046153846154
23854,"IL, Will, 17197880309",17197880309,"+41.6953526,-088.1955544",0.284108624645045,0.0874456288766929,0.293984681013984,0.459187180427608,0.164988103705832,0,0.699046153846154
23855,"IL, Will, 17197880310",17197880310,"+41.6602944,-088.2175072",0.335495764542382,0.178957435585832,0.412127428414194,0.589838678721413,0.1330048906867,0,0.699046153846154
23856,"IL, Will, 17197880312",17197880312,"+41.7030483,-088.2201997",0.304954605789024,0.0868408262955607,0.355839018314326,0.530847140561145,0.157154495716957,0,0.699046153846154
23857,"IL, Will, 17197880313",17197880313,"+41.7124607,-088.2487620",0.377554284033828,0.252652805806982,0.396002683619806,0.655484614662869,0.26213944626716,0,0.699046153846154
23858,"IL, Will, 17197880314",17197880314,"+41.6658634,-088.2453564",0.258289143449054,0.0761668762784033,0.29504950091206,0.353350632604842,0.126121697052866,0,0.699046153846154
23859,"IL, Will, 17197880404",17197880404,"+41.6141399,-088.2295848",0.479116582816007,0.247179973087739,0.482105211244579,0.582040370111072,0.323619291015609,0.540708497590889,0.699046153846154
23860,"IL, Will, 17197880408",17197880408,"+41.6304377,-088.1534271",0.418355817329041,0.408043684849406,0.557283622820525,0.71457447408837,0.131186968369794,0,0.699046153846154
23861,"IL, Will, 17197880410",17197880410,"+41.6080420,-088.1549341",0.398082616827091,0.370786057932735,0.391326979813928,0.708484649825382,0.218851859544349,0,0.699046153846154
23862,"IL, Will, 17197880411",17197880411,"+41.6148680,-088.1831793",0.33652975085681,0.218698527246636,0.370922355131756,0.523758579443306,0.20675288947301,0,0.699046153846154
23863,"IL, Will, 17197880412",17197880412,"+41.5614523,-088.1525068",0.38213800871011,0.441851789887984,0.48293150988937,0.52326528611658,0.145733312520572,0,0.699046153846154
23864,"IL, Will, 17197880414",17197880414,"+41.5608413,-088.1716202",0.347155958884071,0.348217564892703,0.409677287025154,0.460171883633474,0.165822863906943,0,0.699046153846154
23865,"IL, Will, 17197880415",17197880415,"+41.5810959,-088.1572202",0.465890560502959,0.56860462144877,0.57265399733908,0.666258341189255,0.288780249194492,0,0.699046153846154
23866,"IL, Will, 17197880416",17197880416,"+41.5582054,-088.1871785",0.379307670910019,0.394076947921386,0.472216759996609,0.550832500648448,0.159673663047518,0,0.699046153846154
23867,"IL, Will, 17197880417",17197880417,"+41.5830333,-088.1794643",0.329770840340893,0.253665698426218,0.413786008041729,0.499507932164322,0.112619249566935,0,0.699046153846154
23868,"IL, Will, 17197880418",17197880418,"+41.5570863,-088.2085971",0.346873185970115,0.227296529909307,0.397267270037558,0.564262294512087,0.193366867515583,0,0.699046153846154
23869,"IL, Will, 17197880419",17197880419,"+41.5610120,-088.2242575",0.341753412480343,0.213235821455663,0.464069472565063,0.615974753565485,0.0581942734496895,0,0.699046153846154
23870,"IL, Will, 17197880420",17197880420,"+41.5644244,-088.2474181",0.393832543293846,0.329832998841487,0.435772778523,0.655228260602743,0.243115067949693,0,0.699046153846154
23871,"IL, Will, 17197880421",17197880421,"+41.5836690,-088.2187763",0.33071875460806,0.246949230628448,0.375111337057682,0.541873578136301,0.121332227979776,0,0.699046153846154
23872,"IL, Will, 17197880502",17197880502,"+41.6185452,-088.0399304",0.423056452649226,0.348131239040299,0.380427720777978,0.255845496003479,0.150579083012377,0.704309023215068,0.699046153846154
23873,"IL, Will, 17197880503",17197880503,"+41.6313265,-088.1344649",0.403073712616527,0.317514200589805,0.654125431967013,0.601201223336485,0.146555265959702,0,0.699046153846154
23874,"IL, Will, 17197880505",17197880505,"+41.6321314,-088.1022483",0.455199576044077,0.648139879213617,0.363502189590298,0.739674340230853,0.280834893383542,0,0.699046153846154
23875,"IL, Will, 17197880507",17197880507,"+41.6167534,-088.1339326",0.449034617574927,0.438749845215438,0.434602864088283,0.829898485233679,0.291910357066007,0,0.699046153846154
23876,"IL, Will, 17197880601",17197880601,"+41.5890251,-088.0357609",0.263670124659931,0.23730528169467,0.287709531527423,0.113606712718184,0.244353068173157,0,0.699046153846154
23877,"IL, Will, 17197880602",17197880602,"+41.5905329,-088.0546026",0.358426784297948,0.390241606065087,0.460269509645968,0.347949420014517,0.253054016215963,0,0.699046153846154
23878,"IL, Will, 17197880701",17197880701,"+41.5769955,-088.0446930",0.41386974453376,0.427990311770178,0.625654679044341,0.433152800849893,0.297374521691993,0,0.699046153846154
23879,"IL, Will, 17197880702",17197880702,"+41.5641840,-088.0549645",0.575085784081602,0.676043546002522,0.638873892098758,0.689366608609954,0.747184503932221,0,0.699046153846154
23880,"IL, Will, 17197880901",17197880901,"+41.5768926,-088.1350159",0.364435633258536,0.298171969479614,0.458806217510242,0.609354624228641,0.121234834486565,0,0.699046153846154
23881,"IL, Will, 17197880903",17197880903,"+41.5578770,-088.1128638",0.577948856360823,0.720090098037961,0.824726692160458,0.685006501139777,0.53882369298059,0,0.699046153846154
23882,"IL, Will, 17197880905",17197880905,"+41.5565837,-088.0960283",0.428318430422294,0.536080079586417,0.354408708798897,0.629348314985649,0.35102732531665,0,0.699046153846154
