row#,Name,FIPS,Source,ToxPi Score,Baseline.Health,Baseline.Social,Baseline.Infrastructure,Baseline.Environment,ClimateChange.Health,ClimateChange.Economic,ClimateChange.ExtremeEvents
23830,"IL, Will, 17197880105",17197880105,"+41.6978187,-088.1089208",0.440193163306902,0.279262105155488,0.598982454570283,0.298125893862847,0.64289642410846,0.305064073822065,0.521980098890984,0.435041092738189
23831,"IL, Will, 17197880106",17197880106,"+41.6999714,-088.0926211",0.449308113613772,0.391423305549856,0.594897967992109,0.340621419396143,0.618703376900582,0.308939900217603,0.471204664154385,0.419366161085726
23832,"IL, Will, 17197880107",17197880107,"+41.7065111,-088.0736419",0.462372589652676,0.392607620978248,0.611903800150558,0.380677204417653,0.63545803924875,0.282677891182988,0.502723494689596,0.430560076900943
23833,"IL, Will, 17197880109",17197880109,"+41.7223980,-088.0527029",0.431061517560819,0.29665955393924,0.518583707304737,0.396263259832941,0.566536308986531,0.28476759530043,0.506431417395796,0.448188780166058
23834,"IL, Will, 17197880111",17197880111,"+41.7007490,-088.0568454",0.439442279661844,0.328679404271561,0.601635648766755,0.374266782886754,0.612540233569407,0.308148102158986,0.460168164609774,0.390657621369671
23835,"IL, Will, 17197880112",17197880112,"+41.7028033,-088.0409939",0.464251475738029,0.312536314985475,0.624884021001948,0.514755579019989,0.658442253936261,0.310302360458658,0.440508934942026,0.388330865821847
23836,"IL, Will, 17197880113",17197880113,"+41.6940179,-088.0600423",0.500296717115947,0.419157582610874,0.684143231628407,0.520933639992705,0.704370247636869,0.292031856316734,0.461783624916915,0.419656836709128
23837,"IL, Will, 17197880114",17197880114,"+41.6852009,-088.0789597",0.473306248324327,0.397716287562771,0.601644617224734,0.426958064817801,0.698511474495727,0.305688215646843,0.488701021550877,0.393924056971536
23838,"IL, Will, 17197880115",17197880115,"+41.6946384,-088.0778222",0.44797729613934,0.385579541169275,0.498399013200675,0.404561797885176,0.639197814225559,0.296587361492355,0.486883256822216,0.424632288180122
23839,"IL, Will, 17197880116",17197880116,"+41.7100616,-088.0582750",0.427225859020188,0.394833788104194,0.423858987520107,0.372898199403399,0.631829349518698,0.289223010549972,0.455842420067264,0.422095257977682
23840,"IL, Will, 17197880117",17197880117,"+41.7149491,-088.0410810",0.492602486562279,0.430101777563152,0.578737041833034,0.593669312695834,0.625519567418956,0.287899629522141,0.498384858198656,0.433905218704179
23841,"IL, Will, 17197880118",17197880118,"+41.7224528,-088.0957961",0.374328434092929,0.177536055254191,0.25436496116409,0.335308697891258,0.519203114295904,0.319645067201887,0.533475750137379,0.480765392705797
23842,"IL, Will, 17197880119",17197880119,"+41.7196473,-088.1355233",0.396319770665351,0.225573024184822,0.313867586878339,0.416863092521858,0.519367217946407,0.308788973856821,0.526658884482814,0.463119614786395
23843,"IL, Will, 17197880120",17197880120,"+41.6963282,-088.1254195",0.40253459761756,0.208633071828868,0.35540297188398,0.345101083957198,0.565667980160896,0.306602614794286,0.561119062636797,0.475215398060899
23844,"IL, Will, 17197880121",17197880121,"+41.6727954,-088.1197366",0.413046846838451,0.215523095755256,0.337192724193399,0.400939737478191,0.615483023074038,0.296854868340813,0.562424124493272,0.46291035453419
23845,"IL, Will, 17197880202",17197880202,"+41.6686851,-088.0496258",0.491303093755241,0.418829385617797,0.602439899289536,0.464070417561939,0.62582603129876,0.307027262791772,0.539400096285236,0.481528563441647
23846,"IL, Will, 17197880203",17197880203,"+41.6473647,-088.0887238",0.48620467389783,0.466904343793831,0.442181045720706,0.567509596896977,0.686180183607145,0.308612130066911,0.503564446402582,0.428480970796659
23847,"IL, Will, 17197880204",17197880204,"+41.6451150,-088.1150335",0.46368365097639,0.365308052597979,0.372639207875337,0.58960816319797,0.604053238679934,0.321590348890902,0.534122330935572,0.458464214657035
23848,"IL, Will, 17197880303",17197880303,"+41.7179438,-088.1770495",0.371280521189333,0.202719152692873,0.252761625699398,0.376125661820071,0.526491312891553,0.302177963510667,0.479118337113859,0.459569594596909
23849,"IL, Will, 17197880304",17197880304,"+41.7183114,-088.1575735",0.371815462663541,0.186381063300569,0.276670874870329,0.364143363732914,0.491309457339676,0.322056037537667,0.510641134402434,0.451506307461199
23850,"IL, Will, 17197880305",17197880305,"+41.7020901,-088.1765105",0.369253939042329,0.197080824990661,0.232363409904833,0.394830926664804,0.523590096129535,0.317242107014543,0.488416406997072,0.431253801594856
23851,"IL, Will, 17197880306",17197880306,"+41.6963631,-088.1571949",0.399056837851423,0.214312578194455,0.351594661338015,0.329133581980735,0.540769181625815,0.323838380378205,0.555912698847669,0.477836782595064
23852,"IL, Will, 17197880307",17197880307,"+41.7171871,-088.1987800",0.41142158495992,0.213939831974817,0.404654222822356,0.425691118251771,0.595616925021545,0.318840427957794,0.492797686086666,0.428410882604489
23853,"IL, Will, 17197880308",17197880308,"+41.6615464,-088.1708955",0.404391998049006,0.201851935475932,0.373445445593722,0.365664912499547,0.535226244182666,0.308211284143114,0.567068200993174,0.479275963454888
23854,"IL, Will, 17197880309",17197880309,"+41.6953526,-088.1955544",0.395883777195657,0.217822301174454,0.277964089528559,0.42956553806225,0.544357545155179,0.325116405108807,0.52392975816897,0.45243080317138
23855,"IL, Will, 17197880310",17197880310,"+41.6602944,-088.2175072",0.405823225115137,0.221111869803458,0.334065434127193,0.386677080408436,0.561163279068691,0.314395754038043,0.563237308932717,0.460111849427423
23856,"IL, Will, 17197880312",17197880312,"+41.7030483,-088.2201997",0.388342774902001,0.155572362908757,0.300722460085695,0.367360170820693,0.573374810669482,0.305240308472617,0.558711243345368,0.457418068011393
23857,"IL, Will, 17197880313",17197880313,"+41.7124607,-088.2487620",0.397889886790496,0.206019941495227,0.379982360035346,0.397421423478636,0.505826429937174,0.291482470756938,0.55346719539929,0.45102938643086
23858,"IL, Will, 17197880314",17197880314,"+41.6658634,-088.2453564",0.389284242182506,0.190992860822508,0.249775955010311,0.467081522394586,0.486076188642944,0.305414814005387,0.550601216094418,0.475047138307385
23859,"IL, Will, 17197880404",17197880404,"+41.6141399,-088.2295848",0.40739203810219,0.278188983481057,0.490861882296977,0.252827324453974,0.487961024626622,0.304212499135697,0.57407447912083,0.463618073600172
23860,"IL, Will, 17197880408",17197880408,"+41.6304377,-088.1534271",0.433710429972245,0.289129992023215,0.424526985093686,0.480925363660269,0.598381626965966,0.299248154297602,0.51384032098981,0.429920566775167
23861,"IL, Will, 17197880410",17197880410,"+41.6080420,-088.1549341",0.411855975893029,0.289091192915555,0.402393941500497,0.36563493833568,0.556297082455558,0.287600043335497,0.533844658200151,0.448129974508264
23862,"IL, Will, 17197880411",17197880411,"+41.6148680,-088.1831793",0.419164285847293,0.369992289901973,0.33519427730959,0.43417939608093,0.489565754775649,0.301828055368404,0.525332997171183,0.478057230323324
23863,"IL, Will, 17197880412",17197880412,"+41.5614523,-088.1525068",0.434183186303104,0.375099208559995,0.384986591018489,0.472007036467709,0.530249985484801,0.32003095324149,0.524524771173442,0.432383758175802
23864,"IL, Will, 17197880414",17197880414,"+41.5608413,-088.1716202",0.429366416771448,0.356504704058739,0.346795323009061,0.488357606614676,0.523549517520802,0.318762963607774,0.530240862769734,0.441353939819351
23865,"IL, Will, 17197880415",17197880415,"+41.5810959,-088.1572202",0.443023397718822,0.360233864337461,0.476422517955316,0.398903073349371,0.570889668307288,0.307364235998291,0.536847490496052,0.450502933587976
23866,"IL, Will, 17197880416",17197880416,"+41.5582054,-088.1871785",0.401498899411898,0.303205446913007,0.381896600865881,0.357631784156329,0.499823407040727,0.31665557511134,0.519185521146648,0.432093960649355
23867,"IL, Will, 17197880417",17197880417,"+41.5830333,-088.1794643",0.406923108263957,0.331234329971927,0.327815311118392,0.397309971196688,0.52030536210996,0.294520627407542,0.510494364527997,0.466781791515192
23868,"IL, Will, 17197880418",17197880418,"+41.5570863,-088.2085971",0.394554782721043,0.248438388207003,0.346486608791443,0.387596173000093,0.520173045766867,0.307530435551958,0.513824453976358,0.437834373753582
23869,"IL, Will, 17197880419",17197880419,"+41.5610120,-088.2242575",0.394232775997445,0.253820918441905,0.340897152414021,0.39368762046574,0.465788933846326,0.299089924021289,0.548996664359025,0.457348218433812
23870,"IL, Will, 17197880420",17197880420,"+41.5644244,-088.2474181",0.411018252387732,0.283810103241335,0.397753970481785,0.44245139770697,0.475124512055771,0.304271447065667,0.535266739280839,0.438449596881758
23871,"IL, Will, 17197880421",17197880421,"+41.5836690,-088.2187763",0.408509330047203,0.305905644327191,0.328850186090195,0.42805856573805,0.478809519537096,0.313420165797037,0.538180319626069,0.466340909214783
23872,"IL, Will, 17197880502",17197880502,"+41.6185452,-088.0399304",0.454351420514622,0.352792292646636,0.429658851986006,0.565858973599294,0.505744646924515,0.300996889555824,0.532438444132916,0.492969844757165
23873,"IL, Will, 17197880503",17197880503,"+41.6313265,-088.1344649",0.460086210852266,0.413606203291155,0.407842915414346,0.522676564381006,0.616657001328843,0.311114469694144,0.508506029404721,0.44020029245165
23874,"IL, Will, 17197880505",17197880505,"+41.6321314,-088.1022483",0.472874379388799,0.433829920674188,0.464750753299323,0.499797286165487,0.618954900200452,0.293900528793104,0.532725042063404,0.466162224525636
23875,"IL, Will, 17197880507",17197880507,"+41.6167534,-088.1339326",0.431853833794454,0.287341379722321,0.458020227720257,0.426655739237332,0.580841641736083,0.282157271683632,0.534695526796546,0.453265049665011
23876,"IL, Will, 17197880601",17197880601,"+41.5890251,-088.0357609",0.422190352225456,0.305770199398849,0.255650582043325,0.662756680957797,0.522456957940755,0.296386329391098,0.487448519176464,0.424863196669907
